pu+pr-b,pu pr,,Should be 0,,,,,anti-Stokes
Amp,Amp,,,,,,,
-48.4,-50.08,,1.68,,,,,
-48.44,-50.29,,1.85,,,,,
-48.61,-50.29,,1.68,,,,,
-48.71,-50.26,,1.55,,,,,
-48.9,-50.53,,1.63,,,,,
-48.9,-50.38,,1.48,,,,,
-49.1,-50.47,,1.37,,,,,
-49.13,-50.77,,1.64,,,,,
-49.26,-50.53,,1.27,,,,,
-49.45,-50.75,,1.3,,,,,
-49.52,-50.83,,1.31,,,,,
-49.54,-50.8,,1.26,,,,,
-49.76,-50.99,,1.23,,,,,
-49.75,-50.99,,1.24,,,,,
-49.88,-50.95,,1.07,,,,,
-49.95,-51.24,,1.29,,,,,
-50.06,-51.2,,1.14,,,,,
-50.14,-51.18,,1.04,,,,,
-50.25,-51.46,,1.21,,,,,
-50.28,-51.37,,1.09,,,,,
-50.43,-51.48,,1.05,,,,,
-50.45,-51.59,,1.14,,,,,
-50.56,-51.47,,0.91,,,,,
-50.73,-51.75,,1.02,,,,,
-50.77,-51.69,,0.92,,,,,
-50.93,-51.74,,0.81,,,,,
-50.93,-51.89,,0.96,,,,,
-51.05,-51.84,,0.79,,,,,
-51.04,-51.93,,0.89,,,,,
-51.08,-52.04,,0.96,,,,,
-51.2,-51.92,,0.72,,,,,
-51.28,-52.17,,0.89,,,,,
-51.36,-52.17,,0.81,,,,,
-51.45,-52.16,,0.71,,,,,
-51.47,-52.36,,0.89,,,,,
-51.63,-52.24,,0.61,,,,,
-51.59,-52.33,,0.74,,,,,
-51.68,-52.47,,0.79,,,,,
-51.66,-52.34,,0.68,,,,,
-51.76,-52.54,,0.78,,,,,
-51.83,-52.61,,0.78,,,,,
-51.94,-52.49,,0.55,,,,,
-51.99,-52.67,,0.68,,,,,
-52.02,-52.63,,0.61,,,,,
-51.95,-52.64,,0.69,,,,,
-52.12,-52.79,,0.67,,,,,
-52.23,-52.68,,0.45,,,,,
-52.19,-52.79,,0.6,,,,,
-52.23,-52.84,,0.61,,,,,
-52.3,-52.78,,0.48,,,,,
-52.22,-52.96,,0.74,,,,,
-52.43,-52.92,,0.49,,,,,
-52.34,-52.89,,0.55,,,,,
-52.44,-53.04,,0.6,,,,,
-52.53,-53.02,,0.49,,,,,
-52.53,-53.01,,0.48,,,,,
-52.53,-53.07,,0.54,,,,,
-52.58,-53.03,,0.45,,,,,
-52.58,-53.11,,0.53,,,,,
-52.58,-53.11,,0.53,,,,,
-52.66,-53.15,,0.49,,,,,
-52.66,-53.2,,0.54,,,,,
-52.69,-53.18,,0.49,,,,,
-52.77,-53.17,,0.4,,,,,
-52.74,-53.26,,0.52,,,,,
-52.78,-53.17,,0.39,,,,,
-52.76,-53.25,,0.49,,,,,
-52.85,-53.27,,0.42,,,,,
-52.84,-53.19,,0.35,,,,,
-52.82,-53.37,,0.55,,,,,
-52.84,-53.26,,0.42,,,,,
-52.93,-53.28,,0.35,,,,,
-52.9,-53.33,,0.43,,,,,
-53,-53.37,,0.37,,,,,
-52.94,-53.39,,0.45,,,,,
-52.92,-53.37,,0.45,,,,,
-52.92,-53.36,,0.44,,,,,
-53.02,-53.4,,0.38,,,,,
-52.96,-53.4,,0.44,,,,,
-52.92,-53.41,,0.49,,,,,
-53.06,-53.4,,0.34,,,,,
-52.98,-53.43,,0.45,,,,,
-53.01,-53.36,,0.35,,,,,
-53.04,-53.45,,0.41,,,,,
-53.11,-53.45,,0.34,,,,,
-53.09,-53.4,,0.31,,,,,
-53.1,-53.42,,0.32,,,,,
-53.13,-53.46,,0.33,,,,,
-53.13,-53.43,,0.3,,,,,
-53.13,-53.45,,0.32,,,,,
-53.14,-53.47,,0.33,,,,,
-53.12,-53.47,,0.35,,,,,
-53.11,-53.43,,0.32,,,,,
-53.13,-53.42,,0.29,,,,,
-53.18,-53.46,,0.28,,,,,
-53.2,-53.47,,0.27,,,,,
-53.15,-53.42,,0.27,,,,,
-53.15,-53.44,,0.29,,,,,
-53.08,-53.4,,0.32,,,,,
-53.21,-53.46,,0.25,,,,,
-53.16,-53.47,,0.31,,,,,
-53.18,-53.45,,0.27,,,,,
-53.19,-53.47,,0.28,,,,,
-53.26,-53.52,,0.26,,,,,
-53.23,-53.41,,0.18,,,,,
-53.19,-53.47,,0.28,,,,,
-53.16,-53.46,,0.3,,,,,
-53.26,-53.44,,0.18,,,,,
-53.21,-53.49,,0.28,,,,,
-53.23,-53.47,,0.24,,,,,
-53.25,-53.45,,0.2,,,,,
-53.2,-53.52,,0.32,,,,,
-53.24,-53.44,,0.2,,,,,
-53.23,-53.53,,0.3,,,,,
-53.15,-53.49,,0.34,,,,,
-53.29,-53.48,,0.19,,,,,
-53.25,-53.56,,0.31,,,,,
-53.21,-53.49,,0.28,,,,,
-53.31,-53.54,,0.23,,,,,
-53.25,-53.55,,0.3,,,,,
-53.34,-53.48,,0.14,,,,,
-53.37,-53.58,,0.21,,,,,
-53.33,-53.54,,0.21,,,,,
-53.27,-53.51,,0.24,,,,,
-53.31,-53.69,,0.38,,,,,
-53.34,-53.54,,0.2,,,,,
-53.31,-53.61,,0.3,,,,,
-53.37,-53.64,,0.27,,,,,
-53.43,-53.57,,0.14,,,,,
-53.4,-53.62,,0.22,,,,,
-53.35,-53.63,,0.28,,,,,
-53.43,-53.64,,0.21,,,,,
-53.43,-53.71,,0.28,,,,,
-53.39,-53.6,,0.21,,,,,
-53.49,-53.68,,0.19,,,,,
-53.46,-53.71,,0.25,,,,,
-53.43,-53.68,,0.25,,,,,
-53.48,-53.76,,0.28,,,,,
-53.46,-53.73,,0.27,,,,,
-53.51,-53.69,,0.18,,,,,
-53.54,-53.79,,0.25,,,,,
-53.6,-53.75,,0.15,,,,,
