pu+pr-b,pu pr,,(pu+pr-1b) - (pu pr),,,,,Stokes
Amp,Amp,,,,,,,
-52.37,-52.73,,0.36,,,,,
-52.44,-52.69,,0.25,,,,,
-52.36,-52.62,,0.26,,,,,
-52.43,-52.79,,0.36,,,,,
-52.46,-52.64,,0.18,,,,,
-52.5,-52.7,,0.2,,,,,
-52.45,-52.76,,0.31,,,,,
-52.53,-52.68,,0.15,,,,,
-52.53,-52.81,,0.28,,,,,
-52.53,-52.75,,0.22,,,,,
-52.54,-52.69,,0.15,,,,,
-52.55,-52.82,,0.27,,,,,
-52.59,-52.72,,0.13,,,,,
-52.61,-52.77,,0.16,,,,,
-52.59,-52.79,,0.2,,,,,
-52.6,-52.69,,0.09,,,,,
-52.6,-52.82,,0.22,,,,,
-52.6,-52.78,,0.18,,,,,
-52.62,-52.71,,0.09,,,,,
-52.61,-52.83,,0.22,,,,,
-52.62,-52.76,,0.14,,,,,
-52.66,-52.74,,0.08,,,,,
-52.67,-52.87,,0.2,,,,,
-52.62,-52.75,,0.13,,,,,
-52.64,-52.77,,0.13,,,,,
-52.67,-52.82,,0.15,,,,,
-52.6,-52.74,,0.14,,,,,
-52.63,-52.88,,0.25,,,,,
-52.65,-52.77,,0.12,,,,,
-52.67,-52.76,,0.09,,,,,
-52.66,-52.88,,0.22,,,,,
-52.64,-52.71,,0.07,,,,,
-52.69,-52.83,,0.14,,,,,
-52.66,-52.84,,0.18,,,,,
-52.67,-52.79,,0.12,,,,,
-52.72,-52.82,,0.1,,,,,
-52.76,-52.83,,0.07,,,,,
-52.73,-52.81,,0.08,,,,,
-52.65,-52.93,,0.28,,,,,
-52.75,-52.78,,0.03,,,,,
-52.75,-52.88,,0.13,,,,,
-52.63,-52.94,,0.31,,,,,
-52.79,-52.84,,0.05,,,,,
-52.86,-52.86,,0,,,,,
-52.7,-52.86,,0.16,,,,,
-52.77,-52.85,,0.08,,,,,
-52.74,-52.92,,0.18,,,,,
-52.81,-52.88,,0.07,,,,,
-52.81,-52.86,,0.05,,,,,
-52.8,-52.97,,0.17,,,,,
-52.8,-52.85,,0.05,,,,,
-52.83,-52.92,,0.09,,,,,
-52.88,-52.97,,0.09,,,,,
-52.88,-52.86,,-0.02,,,,,
-52.83,-53,,0.17,,,,,
-52.88,-52.96,,0.08,,,,,
-52.94,-52.96,,0.02,,,,,
-52.91,-53.09,,0.18,,,,,
-52.89,-52.96,,0.07,,,,,
-52.85,-53.02,,0.17,,,,,
-52.92,-53.07,,0.15,,,,,
-52.95,-52.97,,0.02,,,,,
-52.97,-53.07,,0.1,,,,,
-52.99,-53.06,,0.07,,,,,
-52.92,-53.02,,0.1,,,,,
-52.99,-53.13,,0.14,,,,,
-53.01,-53.03,,0.02,,,,,
-53.06,-53.11,,0.05,,,,,
-53.04,-53.14,,0.1,,,,,
-53.04,-53.08,,0.04,,,,,
-53.09,-53.14,,0.05,,,,,
-53.14,-53.16,,0.02,,,,,
-53.06,-53.12,,0.06,,,,,
-53.06,-53.2,,0.14,,,,,
-53.17,-53.16,,-0.01,,,,,
-53.06,-53.19,,0.13,,,,,
-53.17,-53.23,,0.06,,,,,
-53.16,-53.21,,0.05,,,,,
-53.2,-53.24,,0.04,,,,,
-53.18,-53.31,,0.13,,,,,
-53.26,-53.24,,-0.02,,,,,
-53.24,-53.32,,0.08,,,,,
-53.24,-53.28,,0.04,,,,,
-53.24,-53.31,,0.07,,,,,
-53.21,-53.32,,0.11,,,,,
-53.31,-53.29,,-0.02,,,,,
-53.26,-53.32,,0.06,,,,,
-53.29,-53.35,,0.06,,,,,
-53.28,-53.34,,0.06,,,,,
-53.26,-53.41,,0.15,,,,,
-53.28,-53.35,,0.07,,,,,
-53.36,-53.36,,0,,,,,
-53.33,-53.43,,0.1,,,,,
-53.35,-53.35,,0,,,,,
-53.31,-53.45,,0.14,,,,,
-53.41,-53.45,,0.04,,,,,
-53.4,-53.39,,-0.01,,,,,
-53.4,-53.48,,0.08,,,,,
-53.39,-53.43,,0.04,,,,,
-53.39,-53.44,,0.05,,,,,
-53.48,-53.48,,0,,,,,
-53.43,-53.42,,-0.01,,,,,
-53.38,-53.53,,0.15,,,,,
-53.51,-53.5,,-0.01,,,,,
-53.45,-53.48,,0.03,,,,,
-53.49,-53.56,,0.07,,,,,
-53.51,-53.5,,-0.01,,,,,
-53.42,-53.49,,0.07,,,,,
-53.55,-53.56,,0.01,,,,,
-53.43,-53.55,,0.12,,,,,
-53.46,-53.56,,0.1,,,,,
-53.53,-53.58,,0.05,,,,,
-53.52,-53.55,,0.03,,,,,
-53.54,-53.57,,0.03,,,,,
-53.48,-53.56,,0.08,,,,,
-53.54,-53.57,,0.03,,,,,
-53.55,-53.63,,0.08,,,,,
-53.52,-53.56,,0.04,,,,,
-53.57,-53.58,,0.01,,,,,
-53.54,-53.62,,0.08,,,,,
-53.6,-53.59,,-0.01,,,,,
-53.64,-53.6,,-0.04,,,,,
-53.57,-53.61,,0.04,,,,,
-53.59,-53.62,,0.03,,,,,
